parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,transactiondate,logerror
13026366,,,,2.0,3.0,,4,2.0,,,1955.0,1955,,,,,06037,,2,,,,2,34144656,-117883637,19148.0,,,,,,0100,261,"GDE7-2000",060374008.001001,11626,3101,,96486,0.0,,,,1,,,1957.0,,,153199.0,318504.0,2015,165305.0,5548.27,,,60374008001001,2016-04-20,0.0649
13026356,1,,,4.0,5.0,,1,4.0,,,3590.0,3590,,,,,06037,,4,,,,2,34144163,-117883754,21261.0,1,,,,1,0101,261,"GDE7-2000",060374008.001056,11626,3101,,96486,0.0,,,,1,,,1961.0,,,335265.0,565774.0,2015,230509.0,6837.49,,,60374008001056,2016-03-31,-0.0987
13031733,1,,,4.0,4.0,,4,4.0,,,3359.0,3359,,,,,06037,,4,,,,2,34152756,-117855046,21635.0,1,,,,1,0101,261,"GDE7-2000",060374005.011014,11626,3101,,96486,0.0,,,,1,,,1982.0,,,380842.0,774960.0,2015,394118.0,9127.47,,,60374005011014,2016-09-13,0.0742
13032180,,,,2.0,3.0,,4,2.0,,,1772.0,1772,,,,,06037,,2,,,,2,34151853,-117852757,41060.0,1,,,,1,0101,261,"GDE7-2000",060374005.011014,11626,3101,,96486,0.0,,,,1,,,1957.0,,,74532.0,92864.0,2015,18332.0,1225.19,,,60374005011014,2016-01-14,0.0797
13056805,1,,,3.0,3.0,,1,3.0,,,3198.0,3198,,,,,06037,,3,,,,2,34147199,-117887176,20046.0,1,,,,1,0101,261,"GDE7-2000",060374005.011032,11626,3101,,96486,0.0,,,,1,,,1992.0,,,296767.0,574847.0,2015,278080.0,6881.65,,,60374005011032,2016-08-02,0.004
13031960,1,,,7.0,4.0,,1,7.0,,,5678.0,5678,,,,,06037,,7,,,,2,34147245,-117863571,23737.0,,,,,,0100,261,"GDE7-2000",060374005.011020,11626,3101,,96486,0.0,,,,1,,,1989.0,,,411774.0,878861.0,2015,467087.0,10447.23,,,60374005011020,2016-06-07,-0.002
13031973,1,,,5.0,5.0,,1,5.0,,,3981.0,3981,,,,,06037,,5,,,,2,34150149,-117858661,16287.0,,,,,,0100,261,"GDE7-2000",060374005.011014,11626,3101,,96486,0.0,,,,1,,,1987.0,,,427569.0,993474.0,2015,565905.0,11438.81,,,60374005011014,2016-05-09,0.1731
13042303,1,,,7.0,5.0,,10,7.0,,,6285.0,6285,,,,,06037,,7,,,,2,34147487,-117842051,41088.0,1,,,,1,0101,261,"GDE7-4000",060374004.042048,11626,3101,,96486,0.0,,,,1,,,1995.0,,,1034651.0,2079753.0,2015,1045102.0,23840.08,,,60374004042048,2016-03-14,0.0825
13031680,,,,2.0,4.0,,7,2.0,,,1832.0,1832,,,,,06037,,2,,,,2,34156381,-117863239,222063.0,,,,,,0100,261,"GDE7-8000",060374005.011014,11626,3101,,96486,0.0,,,,1,,,1955.0,,,101.0,591601.0,2015,591500.0,9882.48,,,60374005011014,2016-09-16,-0.102
13042288,,,,2.0,3.0,,4,2.0,,,2486.0,2486,,,,,06037,,2,,,,2,34147734,-117844361,60187.0,,,,,,0100,261,"GDE7-4000",060374004.042048,11626,3101,,96486,0.0,,,,1,,,1952.0,,,70152.0,108477.0,2015,38325.0,1482.26,,,60374004042048,2016-11-28,-0.0502
13056571,1,,,4.0,5.0,,10,4.0,,,4526.0,4526,,,,,06037,,4,,,,2,34148032,-117885842,31887.0,1,,,,1,0101,261,"GDE7-2000",060374005.011032,11626,3101,,96486,0.0,,,,1,,,2001.0,,,650649.0,1242149.0,2015,591500.0,14366.36,,,60374005011032,2016-06-01,0.1319
13031981,1,,,3.0,4.0,,4,3.0,,,3432.0,3432,,,,,06037,,3,,,,2,34149446,-117859863,25535.0,1,,,,1,0101,261,"GDE7-2000",060374005.011014,11626,3101,,96486,0.0,,,,1,,,1984.0,,,509732.0,1256847.0,2015,747115.0,14348.71,,,60374005011014,2016-06-02,-0.008
13056572,1,,,3.0,4.0,,7,3.0,,,2748.0,2748,,,,,06037,,3,,,true,2,34148070,-117885240,22383.0,,,1,,,0101,261,"GDE7-2000",060374005.011032,11626,3101,,96486,0.0,,,,2,,,1958.0,,,300000.0,722500.0,2015,422500.0,9103.47,,,60374005011032,2016-08-22,0.0247
